_id,userid,prizeid,status,receiveoption,createdtm
59573e8be4b0cc171ed73b14,5951cd7ce4b0db45c7136431,1498837653512,DELIVERED,USERRECV,2017-07-01 13:17:47
595744f7e4b03df509b90292,59572b4ce4b0cc171ed7373f,1498837653512,DELIVERED,USERRECV,2017-07-01 13:45:11
5957454be4b03f87dbd93652,59574496e4b01cb1aa777ebe,1498837653512,WAITING,USERRECV,2017-07-01 13:46:35
59573ef4e4b01cb1aa777db6,5957324be4b0f93e9119d537,1498837653512,DELIVERED,USERRECV,2017-07-01 13:19:32
59573dd0e4b0d5a5c805d6dc,593fa440e4b09485024fd81d,1498461455280,WAITING,DELIVERY,2017-07-01 13:14:40
5957410ee4b0e9517d6bb841,59573aefe4b0d5a5c805d640,1498837653512,DELIVERED,USERRECV,2017-07-01 13:28:30
595745e8e4b03df509b9029c,592da6e4e4b09c162d708759,1498837653512,DELIVERED,USERRECV,2017-07-01 13:49:12
595730fee4b01cb1aa777b10,592de8c1e4b09c162d7093af,1498837653512,DELIVERED,USERRECV,2017-07-01 12:19:58
595748dae4b01cb1aa777f53,592daf42e4b0a4ee112b8a3e,1498809281151,WAITING,USERRECV,2017-07-01 14:01:46
5957569ae4b0d74b13f64844,59565951e4b0f93e9119c969,1498837653512,DELIVERED,USERRECV,2017-07-01 15:00:26
5957630ce4b0d7f3f9e4827c,594e7bd0e4b0db45c712f53e,1498837653512,DELIVERED,USERRECV,2017-07-01 15:53:32
59575aa1e4b007e80dc14b5c,59573346e4b007e80dc145a1,1498447694156,WAITING,DELIVERY,2017-07-01 15:17:37
595768cce4b03f87dbd93b7f,592e26bfe4b09c162d70b489,1498463838024,WAITING,DELIVERY,2017-07-01 16:18:04
59577014e4b0d7f3f9e484d6,59576801e4b0d74b13f64aa4,1498637637799,DELIVERED,USERRECV,2017-07-01 16:49:08
59571003e4b03f87dbd92e4b,593fcd11e4b09485024fdf3b,1498462885172,WAITING,DELIVERY,2017-07-01 09:59:15
59570fbce4b0d74b13f63db0,593fcd11e4b09485024fdf3b,1498483110946,WAITING,DELIVERY,2017-07-01 09:58:04
5957103de4b0f93e9119d0f2,593fcd11e4b09485024fdf3b,1498463838024,WAITING,DELIVERY,2017-07-01 10:00:13
59572101e4b03df509b8fc91,5934d68be4b0a0f774fcca67,1498801602965,WAITING,USERRECV,2017-07-01 11:11:45
5957291fe4b03df509b8fdc8,592e2f8be4b09c162d70be65,1498801602965,WAITING,USERRECV,2017-07-01 11:46:23
59572af9e4b01cb1aa7779e3,594d2e5de4b0db45c712cbc1,1498637637799,DELIVERED,USERRECV,2017-07-01 11:54:17
59572784e4b0d7f3f9e47896,595722c0e4b0d7f3f9e477d0,1498801602965,WAITING,USERRECV,2017-07-01 11:39:32
5957283ae4b0d74b13f64082,595727dee4b0e9517d6bb34e,1498801602965,WAITING,USERRECV,2017-07-01 11:42:34
59572b93e4b0e9517d6bb41e,595610c1e4b0d74b13f630ba,1498801602965,WAITING,USERRECV,2017-07-01 11:56:51
59572945e4b007e80dc143b3,595728d5e4b0f93e9119d38b,1498801602965,WAITING,USERRECV,2017-07-01 11:47:01
59572ba2e4b0f93e9119d42c,5955c7d8e4b0e9517d6b9e52,1498801602965,WAITING,USERRECV,2017-07-01 11:57:06
595726bce4b0d5a5c805d2a2,59464daee4b0b1300401f347,1498801602965,WAITING,USERRECV,2017-07-01 11:36:12
59572b72e4b0d7f3f9e47958,593542bee4b0a0f774fceb70,1498801602965,WAITING,USERRECV,2017-07-01 11:56:18
595729fde4b0cc171ed736f4,592db682e4b0a4ee112b8dca,1498837653512,DELIVERED,USERRECV,2017-07-01 11:50:05
59572879e4b03f87dbd930e1,595727ffe4b03f87dbd930b5,1498801602965,WAITING,USERRECV,2017-07-01 11:43:37
